internal_player_id,official_fantasy_player_id,name,country,official_fantasy_position,official_price,qualifier_matches_available,qualifier_minutes,qualifier_starts,qualifier_goals,qualifier_assists,qualifier_clean_sheets,qualifier_cards,recent_nt_minutes,recent_nt_starts,recent_nt_role,last_nt_start_date,set_piece_role,penalty_role,corner_role,free_kick_role,usage_source,usage_source_url,usage_source_checked,usage_confidence,data_quality_flags,notes
thin-2-matias-soule,1335,Matías Soulé,Argentina,MID,6.2,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|famous_player_missing_usage|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. High-profile missing-usage audit flag only; fame is not used as evidence for minutes or role. No qualifier or national-team usage row found in inspected sources.
thin-2-nicolas-capaldo,1336,Nicolás Capaldo,Argentina,MID,5,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
thin-2-milton-delgado,1337,Milton Delgado,Argentina,MID,4.2,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
argentina-lautaro-martinez,1338,Lautaro Martínez,Argentina,FWD,8.8,14,738,8,4,1,9,2,738,8,rotation_starter,2025-09-09T23:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
thin-2-mateo-pellegrino,1339,Mateo Pellegrino,Argentina,FWD,5,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
thin-2-santiago-castro,1340,Santiago Castro,Argentina,FWD,6,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
bosnia-and-herzegovina-dennis-hadzikadunic,1341,Dennis Hadzikadunic,Bosnia and Herzegovina,DEF,3.7,1,90,1,0,0,0,1,90,1,rotation_starter,2025-11-18T19:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,medium,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
bosnia-and-herzegovina-ermin-mahmic,1342,Ermin Mahmic,Bosnia and Herzegovina,MID,4.2,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
thin-7-weverton-pereira-da-silva,1343,Weverton Pereira da Silva,Brazil,GK,4.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,thin_profile_missing,thin_profile|thin_profile_missing|missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,Thin profile; no source-backed national-team usage found in current internal data. No qualifier or national-team usage row found in inspected sources.
brazil-alex-sandro,1345,Alex Sandro Lobo da Silva,Brazil,DEF,4.5,3,254,3,0,0,2,0,254,3,locked_starter,2025-09-09T23:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
brazil-wesley,1346,Wesley Vinícius França Lima,Brazil,DEF,4.5,3,191,2,0,0,1,0,191,2,likely_starter,2025-09-05T00:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
