official_fantasy_player_id,internal_player_id,name,country,official_fantasy_position,official_price,priority,current_start_probability,current_expected_minutes,current_role_label,current_role_confidence,missing_fields,reason_for_targeting,recommended_action,source_gap_type,repo_evidence_status,planned_import_source_type,notes
270,colombia-james-rodriguez,James Rodríguez,Colombia,MID,6.5,P1,0.215,23.8,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,manual_source_backed,before_role=unclear; before_start_probability=0.215; before_expected_minutes=23.8; club=León; club_status=source_verified; club_role_confidence=high; club_minutes=980; club_starts=10; no_source_backed_nt_starts_or_minutes_in_current_repo
815,thin-30-xavi-simons,Xavi Simons,Netherlands,MID,6.5,P1,,,blocked,blocked,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,keep_blocked_until_selectable_status_and_squad_review_are_resolved,thin_profile,missing_source_gap,missing_source_gap,before_role=blocked; before_start_probability=; before_expected_minutes=; no_source_backed_nt_starts_or_minutes_in_current_repo; thin_profile_no_historical_context_invented; blocked_reasons=blocked_not_selectable|not_selectable|squad_review_status
1493,new-zealand-chris-wood,Chris Wood,New Zealand,FWD,6.5,P1,0.175,23.5,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,fifa_match_report,before_role=unclear; before_start_probability=0.175; before_expected_minutes=23.5; club=Nottingham Forest; club_status=source_verified; club_role_confidence=high; club_minutes=725; club_starts=9; no_source_backed_nt_starts_or_minutes_in_current_repo
1683,norway-fredrik-aursnes,Fredrik Aursnes,Norway,MID,6.5,P1,0.235,25,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,official_federation,before_role=unclear; before_start_probability=0.235; before_expected_minutes=25; club=Benfica; club_status=source_verified; club_role_confidence=high; club_minutes=2293; club_starts=26; no_source_backed_nt_starts_or_minutes_in_current_repo
1999,spain-pablo-paez-gavi,Pablo Páez Gavira,Spain,MID,6.5,P1,0.16,20.2,unclear,missing,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_impact_watchlist_player,keep_existing_conservative_low_confidence_treatment,true_source_gap,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.16; before_expected_minutes=20.2; no_source_backed_nt_starts_or_minutes_in_current_repo
1990,ghana-abdul-fatawu,Abdul Fatawu,Ghana,FWD,6.4,P1,0.25,34.5,impact_sub,low,club_context|club_minutes|club_starts|final_squad_confirmation,high_price_low_role_confidence|high_price_start_probability_below_0.35,keep_existing_conservative_low_confidence_treatment,true_source_gap,missing_source_gap,missing_source_gap,before_role=impact_sub; before_start_probability=0.25; before_expected_minutes=34.5
763,mexico-alvaro-fidalgo,Álvaro Fidalgo,Mexico,MID,6.4,P1,0.19,22.2,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.19; before_expected_minutes=22.2; club=Betis; club_status=source_verified; club_role_confidence=high; club_minutes=545; club_starts=8; no_source_backed_nt_starts_or_minutes_in_current_repo
1396,colombia-juan-camilo-hernandez,Cucho Hernández,Colombia,FWD,6.3,P1,0.21,25.3,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.21; before_expected_minutes=25.3; club=Real Betis; club_status=source_verified; club_role_confidence=high; club_minutes=2623; no_source_backed_nt_starts_or_minutes_in_current_repo
1473,mexico-cesar-huerta,César Huerta,Mexico,MID,6.3,P1,0.19,22.2,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,position_or_role_conflict,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.19; before_expected_minutes=22.2; club=Anderlecht; club_status=source_verified; club_role_confidence=high; club_minutes=545; club_starts=8; no_source_backed_nt_starts_or_minutes_in_current_repo
1477,mexico-luis-chavez,Luis Chávez,Mexico,MID,6.3,P1,0.16,20.2,unclear,missing,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35,keep_existing_conservative_low_confidence_treatment,true_source_gap,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.16; before_expected_minutes=20.2; no_source_backed_nt_starts_or_minutes_in_current_repo
1671,thin-29-sofiane-boufal,Sofiane Boufal,Morocco,MID,6.3,P1,,,blocked,blocked,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,keep_blocked_until_selectable_status_and_squad_review_are_resolved,thin_profile,missing_source_gap,missing_source_gap,before_role=blocked; before_start_probability=; before_expected_minutes=; no_source_backed_nt_starts_or_minutes_in_current_repo; thin_profile_no_historical_context_invented; blocked_reasons=blocked_not_selectable|not_selectable|squad_review_status
9,algeria-mohamed-amine-amoura,Mohammed Amoura,Algeria,FWD,6.2,P1,0.21,25.3,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.21; before_expected_minutes=25.3; club=VfL Wolfsburg; club_status=source_verified; club_role_confidence=high; club_minutes=1949; no_source_backed_nt_starts_or_minutes_in_current_repo
1335,thin-2-matias-soule,Matías Soulé,Argentina,MID,6.2,P1,,,blocked,blocked,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,keep_blocked_until_selectable_status_and_squad_review_are_resolved,thin_profile,missing_source_gap,missing_source_gap,before_role=blocked; before_start_probability=; before_expected_minutes=; no_source_backed_nt_starts_or_minutes_in_current_repo; thin_profile_no_historical_context_invented; blocked_reasons=blocked_not_selectable|not_selectable|squad_review_status
53,argentina-valentin-barco,Valentín Barco,Argentina,MID,6.2,P1,0.23,24.7,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.23; before_expected_minutes=24.7; club=Strasbourg; club_status=source_verified; club_role_confidence=high; club_minutes=2187; club_starts=24; no_source_backed_nt_starts_or_minutes_in_current_repo
227,canada-cyle-larin,Cyle Larin,Canada,FWD,6.2,P1,0.17,23.2,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.17; before_expected_minutes=23.2; club=RCD Mallorca; club_status=source_verified; club_role_confidence=medium; club_minutes=155; club_starts=1; no_source_backed_nt_starts_or_minutes_in_current_repo
762,mexico-orbelin-pineda,Orbelín Pineda,Mexico,MID,6.2,P1,0.19,22.2,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.19; before_expected_minutes=22.2; club=AEK Athens; club_status=source_verified; club_role_confidence=high; club_minutes=408; club_starts=5; no_source_backed_nt_starts_or_minutes_in_current_repo
